NOM_ENT,LONGITUD_DECIMAL,LATITUD_DECIMAL
MEX,-99.12600528,19.66061389
GTO,-100.9637289,20.48350639
SON,-112.1483547,30.71407389
GTO,-100.9172356,21.15920028
SIN,-108.0807,25.457
JAL,-103.2266667,20.65833333
VER,-97.05384,20.07338778
VER,-95.21257083,18.44866833
MOR,-99.18324278,18.84098417
AGS,-102.3434164,21.96127278
PUE,-97.3608775,19.81799056
SON,-113.5401308,31.30678083
CHIH,-107.9121031,30.41398556
MICH,-102.3060233,19.95632194
MICH,-101.6101164,19.51359778
HGO,-98.98158417,19.84108889
TLAX,-97.92310278,19.31265972
COAH,-103.2303836,25.52813611
JAL,-102.3402778,20.70555556
GRO,-98.58213833,17.54694944
COAH,-101.1199892,27.84888833
PUE,-98.05134,20.17469778
SLP,-99.9929225,21.93237806
GTO,-100.7193264,20.03538028
YUC,-88.20098,20.68972556
MEX,-99.24054861,19.84128611
YUC,-89.74828333,20.88189
OAX,-97.77623583,17.80683722
CHIS,-93.01595917,16.70795806
VER,-96.96027417,19.45466056
VER,-97.32274917,20.4467325
MICH,-101.7928597,19.81861861
NL,-99.82695833,25.18925278
JAL,-102.3327778,21.24777778
NL,-100.4304808,25.78147556
TLAX,-98.19296139,19.31398
MEX,-99.10063389,19.79712306
MEX,-99.183065,19.74546556
YUC,-88.15226611,21.14352306
GTO,-101.8780992,21.02957917
GTO,-101.1780511,20.14101167
JAL,-104.3652778,19.77138889
GTO,-100.5151256,21.29881611
CHIS,-91.98103333,17.50913333
GRO,-99.60459472,18.55738194
MICH,-102.4746789,19.58897417
PUE,-98.46540639,18.60223111
COAH,-102.9831569,25.75777778
JAL,-103.4683333,20.54805556
MEX,-98.86315333,19.30308222
CHIS,-93.72042806,16.69868222
VER,-94.91387083,17.9488225
TAM,-97.81245417,25.67379972
NAY,-104.8997356,21.44368722
NL,-100.0536778,25.78325833
MEX,-99.65721556,19.35743222
VER,-94.5709025,18.01278556
CHIS,-92.09582667,16.90803833
TLAX,-98.14061167,19.41633472
NL,-100.1443361,25.61106111
VER,-96.36031472,18.44744889
PUE,-98.30065556,19.05094389
VER,-94.09027611,17.90932583
ZAC,-102.9899236,22.64940333
OAX,-96.69467722,17.06411806
TLAX,-98.24022639,19.21615
OAX,-95.23204917,16.33205833
MEX,-99.14345833,19.71041389
MOR,-99.06075417,18.88606167
HGO,-98.420595,21.13921194
JAL,-103.4430556,20.47361111
GTO,-100.9940372,20.64320028
BCS,-111.6733394,25.03463556
GTO,-101.7250439,20.43179472
CHIS,-93.3756525,16.76146194
TAB,-93.22501722,18.26604806
NL,-100.1530111,25.4271
JAL,-103.3211111,20.57638889
VER,-97.24407194,19.56065333
MEX,-99.63657556,19.33690667
CHIH,-105.1716203,27.6949625
YUC,-89.663595,21.28257722
GTO,-101.1892086,20.13187028
MEX,-98.94675222,19.34032194
MEX,-98.84404583,19.293205
VER,-97.139525,18.838865
VER,-98.18130528,22.0536125
NL,-100.4402892,25.79123389
PUE,-97.95814361,20.27605861
CDMX,-99.14139833,19.20135861
JAL,-103.7027778,20.6525
NL,-100.1027722,25.71027528
MEX,-99.22351444,19.71377806
NL,-100.1681472,25.89815278
NL,-100.4830392,25.79554722
MICH,-102.2110286,18.01954639
SON,-111.4803806,28.84008056
MICH,-100.4416672,19.89167361
JAL,-103.4256133,20.8496325
JAL,-103.235,20.50555556
QRO,-100.4583578,20.7100075
PUE,-97.96024444,19.932365
SON,-109.9305275,27.58067556
JAL,-105.1997222,20.71444444
COAH,-101.2169778,27.93390278
COAH,-101.5165178,27.87754972
SON,-110.8159933,27.95760583
JAL,-102.5419444,20.29027778
NAY,-105.2511689,20.74836028
ZAC,-102.7022625,22.94903722
SON,-110.3016714,30.98265278
CHIS,-93.75178333,16.09135556
JAL,-104.0430556,20.54861111
TLAX,-98.57047556,19.58852583
HGO,-99.21877361,20.48486778
CHIS,-93.2677075,16.23548583
MEX,-99.20798028,19.7755075
CDMX,-99.20396722,19.21796944
JAL,-103.4175081,20.49244222
VER,-96.22986694,19.16769417
PUE,-98.27331,19.08934694
HGO,-99.34181417,19.90521722
SLP,-100.0110222,21.94351194
CHIS,-93.27327139,16.80032083
VER,-97.21252972,19.96265222
CAMP,-90.72389111,19.35621861
MEX,-98.88148444,19.51343972
NAY,-105.2317006,20.75990667
GTO,-100.88136,20.2161175
MEX,-99.62434667,19.31277778
YUC,-89.53444667,20.39834
CHIH,-104.9229767,27.13054917
PUE,-98.25442417,19.09796528
ZAC,-103.0343317,23.82743417
QRO,-99.88384,20.5188175
TAB,-91.42594778,17.47749417
VER,-96.15701194,19.10299167
VER,-97.18471722,18.80424083
COAH,-102.1841689,25.43738056
MEX,-98.97055167,19.68561611
MEX,-98.84139917,19.26042583
VER,-97.46078194,20.48236333
VER,-94.14723889,18.13827222
SIN,-105.7778758,22.83505139
GRO,-99.17768167,17.59423222
OAX,-98.0503475,16.33900917
MEX,-98.76981056,19.128685
NL,-100.1811472,26.49836944
SIN,-107.5407783,24.65737
VER,-96.96734972,19.14697139
QROO,-87.46320472,20.21077667
BC,-116.7411658,32.50637806
JAL,-103.0641667,20.6225
VER,-98.22991944,21.35181417
GTO,-101.2836242,21.00366639
MEX,-99.51181694,19.28537333
NL,-100.1065611,25.82046944
MEX,-99.6271825,19.27925861
MEX,-98.85946139,19.34371861
GTO,-101.2159447,21.47933583
MEX,-99.7350375,19.28490639
COAH,-103.2730556,25.775
MICH,-101.5152003,20.08866528
MICH,-102.0867342,19.02880472
MEX,-99.59454139,19.31353806
HGO,-98.94290056,20.26908583
CHIS,-92.46581778,15.13828861
AGS,-102.2765417,22.14920167
AGS,-102.3230686,22.22923306
VER,-94.72173472,17.96606806
HGO,-98.58190333,19.77270583
PUE,-97.25830444,18.37753667
MEX,-99.58586028,19.301545
QRO,-100.4703181,20.61715917
PUE,-97.78545972,18.979455
TAB,-92.93134694,18.05102528
OAX,-95.87997611,18.10987111
TAB,-92.59407056,17.75643139
CAMP,-90.73200083,18.60431472
PUE,-97.72841611,18.88469167
MEX,-98.95557361,19.3710325
GTO,-100.6882169,20.54528417
JAL,-103.8356467,20.87943944
MEX,-100.1534028,18.90569639
MEX,-99.169195,19.64751333
JAL,-103.3338889,20.5475
NL,-100.3172514,25.85353361
SIN,-107.6967603,24.76721889
QROO,-88.04658667,19.57851
MICH,-101.4573281,19.23553667
JAL,-103.3722222,19.55444444
SON,-110.9694044,30.63035556
TLAX,-98.16790639,19.33451778
MEX,-99.29522222,19.37709
SON,-109.6441533,26.82689694
NL,-100.1829583,25.92900556
VER,-96.85273611,19.92863444
NL,-100.1681083,25.95206944
MEX,-99.60449167,19.25242
VER,-97.06306722,18.85106639
DGO,-105.420945,25.03907972
NL,-100.3597033,25.85251389
OAX,-97.07129639,15.86250167
MEX,-99.73448083,19.29888639
QRO,-100.3820889,20.65491972
PUE,-98.40813111,19.15899417
HGO,-98.65362694,20.64518139
JAL,-103.3022222,20.56444444
PUE,-98.40510833,19.24439139
HGO,-99.34318889,20.05521972
NL,-100.0737394,25.60654611
OAX,-96.59652417,16.3284775
PUE,-97.90543444,18.96613278
VER,-95.79635861,18.36477389
MEX,-99.45569528,19.26928083
TAB,-92.95299444,17.54828444
MEX,-99.59318583,19.27936444
CHIS,-93.14710806,17.86581194
GTO,-101.5283606,20.4509
NL,-100.0083239,25.2869
HGO,-98.45194444,19.71
JAL,-103.4308547,20.53188417
JAL,-102.5041667,20.55055556
TLAX,-98.20458639,19.1698525
VER,-95.11233917,18.42461472
OAX,-96.77926111,17.10286556
YUC,-89.28838806,20.20346472
YUC,-89.87705167,21.01615417
JAL,-103.3830889,20.53124417
GTO,-100.6216264,20.45717139
SIN,-107.3895722,24.590405
TAM,-98.15962083,24.84867806
JAL,-103.5972222,19.88361111
GTO,-100.9965028,20.51137167
VER,-94.41117583,18.07214139
CDMX,-98.99559667,19.24089611
BC,-116.5714906,31.72355083
GRO,-99.52593667,17.65319722
JAL,-103.1816667,20.51944444
JAL,-102.2330556,21.52444444
CHIS,-92.24774444,15.36316722
CDMX,-98.99371778,19.21753722
HGO,-99.21379806,20.22938
MEX,-99.59226083,19.35880167
GRO,-98.40442139,16.68508917
GTO,-100.3857203,21.00082194
COAH,-101.4305556,26.78527778
MEX,-98.97614917,19.3451575
MICH,-102.2275453,17.99434861
JAL,-103.4125,19.62555556
TAB,-93.39076917,17.83517444
MEX,-99.69216139,19.26770194
COAH,-100.7675536,28.42187472
MICH,-102.2824253,20.34108889
DGO,-105.3601919,23.77815056
PUE,-98.25831333,19.15273889
ZAC,-101.9865639,22.27218667
VER,-97.67553139,20.9171425
YUC,-89.41875167,20.3019325
HGO,-98.95958167,19.87411556
YUC,-89.28392472,21.09555056
CDMX,-99.32568167,19.33100472
OAX,-95.0987125,16.56769833
NL,-100.2429689,25.91274306
JAL,-102.3980556,21.03055556
MEX,-98.89530694,19.55272222
GRO,-100.6682408,18.36227278
GTO,-101.1309333,20.21274333
MEX,-99.14891306,19.91027667
VER,-95.52762806,18.02751389
TAB,-93.21423694,18.39577
NAY,-104.3689111,21.03505528
PUE,-97.44849583,18.98826
CHIS,-93.89947333,16.236065
SIN,-108.6385864,25.66433083
GRO,-99.86957278,18.37180917
ZAC,-103.6413422,23.63137778
GRO,-99.39827139,17.56672417
JAL,-102.4611111,21.16861111
GTO,-101.5171172,20.871215
MICH,-102.7185633,19.98971917
MEX,-99.591575,19.10376083
JAL,-102.5702778,21.43444444
MEX,-98.86862778,19.68547944
SLP,-98.37780333,22.21233917
OAX,-96.69928417,17.03131333
JAL,-103.1897222,20.29333333
TLAX,-98.22852639,19.31739556
CHIS,-91.98156833,16.31594722
MEX,-99.62731528,19.27252861
NAY,-105.2825803,20.72852306
SLP,-98.7915175,21.26273778
GTO,-100.7612022,20.7200475
MEX,-100.1316069,19.19439472
VER,-94.552425,18.15218667
MOR,-99.24489472,18.68657278
HGO,-99.22705417,19.89696944
MICH,-100.8997247,18.62642583
JAL,-103.3368369,20.50764
JAL,-103.44,20.55055556
